2025-05-27T16:44:29,,,,,,,,,,,,,,TOUCH_SLIDER_RESOLUTION,100,
Configurations(Methods):,,,,,,,,,,,,,,TOUCH_DECIMAL_POINT_PRECISION,100,
Name,Touch Interfaces,,,,,,,,,,,,,num_elements,5,
config01,"Slider00, TS15, TS14, TS13, TS12, TS01",,,,,,,,,,,,,resol_plus,400,
1,940,100,13006,11620,11638,11556,11626,,1,0,1368,1386,201,2754,50,1
1,940,100,13027,11626,11640,11575,11639,,1,0,1387,1401,201,2788,50,1
1,940,100,13054,11618,11643,11587,11640,,1,0,1411,1436,202,2847,50,1
1,940,100,13080,11633,11649,11606,11612,,1,0,1431,1447,201,2878,50,1
1,940,100,13116,11647,11658,11618,11586,,1,0,1458,1469,201,2927,50,1
1,940,100,13135,11649,11634,11612,11595,,1,0,1501,1486,199,2987,50,1
1,940,100,13150,11648,11634,11609,11568,,1,0,1516,1502,199,3018,50,1
1,940,100,13160,11648,11625,11610,11584,,1,0,1535,1512,199,3047,50,1
1,940,100,13166,11644,11604,11599,11596,,1,0,1562,1522,197,3084,51,0
1,940,100,13152,11638,11620,11609,11618,,1,0,1532,1514,199,3046,50,1
1,940,100,13153,11629,11634,11616,11595,,1,0,1519,1524,200,3043,50,1
1,940,100,13187,11645,11648,11622,11606,,1,0,1539,1542,200,3081,50,1
1,940,100,13206,11663,11656,11621,11591,,1,0,1550,1543,200,3093,50,1
1,940,100,13214,11667,11657,11611,11600,,1,0,1557,1547,199,3104,50,1
1,940,100,13224,11673,11657,11620,11616,,1,0,1567,1551,199,3118,50,1
1,940,100,13230,11679,11656,11622,11621,,1,0,1574,1551,199,3125,50,1
1,940,100,13218,11679,11640,11625,11610,,1,0,1578,1539,198,3117,51,0
1,940,100,13207,11681,11649,11594,11631,,1,0,1558,1526,198,3084,51,0
0,940,100,13209,11698,11632,11598,11651,,1,0,1577,1511,196,3088,51,0
0,940,100,13235,11709,11656,11588,11618,,1,0,1579,1526,197,3105,51,0
0,940,100,13257,11709,11655,11571,11627,,1,0,1602,1548,197,3150,51,0
0,940,100,13253,11707,11645,11582,11626,,1,0,1608,1546,196,3154,51,0
0,940,100,13251,11707,11655,11558,11627,,1,0,1596,1544,197,3140,51,0
0,940,100,13227,11715,11651,11557,11623,,1,0,1576,1512,196,3088,51,0
0,940,100,13205,11706,11643,11559,11582,,1,0,1562,1499,196,3061,51,0
0,940,100,13193,11715,11657,11573,11609,,1,0,1536,1478,196,3014,51,0
0,940,100,13203,11722,11662,11562,11599,,1,0,1541,1481,196,3022,51,0
0,940,100,13221,11745,11676,11591,11623,,1,0,1545,1476,196,3021,51,0
0,940,100,13200,11763,11670,11573,11630,,1,0,1530,1437,194,2967,52,1
0,940,100,13178,11763,11630,11574,11595,,1,0,1548,1415,191,2963,52,1
0,940,100,13147,11761,11625,11584,11599,,1,0,1522,1386,191,2908,52,1
0,940,100,13126,11769,11625,11557,11605,,1,0,1501,1357,190,2858,53,1
0,940,100,13108,11780,11643,11538,11613,,1,0,1465,1328,191,2793,52,1
0,940,100,13101,11805,11649,11569,11635,,1,0,1452,1296,189,2748,53,1
1,940,100,13088,11826,11628,11580,11633,,1,0,1460,1262,186,2722,54,2
1,940,100,13054,11886,11633,11559,11631,,1,0,1421,1168,182,2589,55,2
2,940,100,13019,11892,11628,11540,11627,,1,0,1391,1127,181,2518,55,2
2,940,100,12989,11896,11632,11559,11621,,1,0,1357,1093,181,2450,55,2
2,940,100,12951,11911,11609,11580,11589,,1,0,1342,1040,177,2382,56,2
2,940,100,12903,11916,11632,11574,11599,,1,0,1271,987,178,2258,56,2
2,940,100,12892,11932,11634,11583,11611,,1,0,1258,960,176,2218,57,3
2,940,100,12868,11957,11641,11600,11613,,1,0,1227,911,174,2138,57,3
3,940,100,12838,11993,11617,11589,11620,,1,0,1221,845,169,2066,59,4
4,940,100,12796,12029,11608,11590,11583,,1,0,1188,767,165,1955,61,4
4,940,100,12744,12054,11630,11583,11548,,1,0,1114,690,162,1804,62,5
5,940,100,12699,12088,11629,11589,11563,,1,0,1070,611,157,1681,64,6
6,940,100,12649,12120,11600,11588,11587,,1,0,1049,529,150,1578,67,7
7,940,100,12608,12150,11610,11589,11585,,1,0,998,458,146,1456,68,7
8,940,100,12575,12186,11600,11606,11591,,1,0,975,389,140,1364,71,8
9,940,100,12563,12221,11595,11617,11627,,1,0,968,342,135,1310,74,10
10,940,100,12553,12252,11590,11619,11639,,1,0,963,301,131,1264,76,10
12,940,100,12518,12284,11617,11621,11603,,1,0,901,234,126,1135,79,12
13,940,100,12476,12311,11603,11625,11597,,1,0,873,165,119,1038,84,14
65535,940,100,12422,12336,11616,11609,11570,,0,0,806,86,111,892,90,16
65535,940,100,12384,12356,11623,11594,11586,,0,0,761,28,104,789,96,18
65535,940,100,12343,12382,11618,11593,11589,,0,1,39,764,2059,803,105,21
22,940,100,12312,12429,11600,11596,11601,,1,1,117,829,809,946,112,22
23,940,100,12267,12473,11604,11605,11626,,1,1,206,869,522,1075,119,24
24,940,100,12258,12520,11633,11604,11606,,1,1,262,887,439,1149,123,25
25,940,100,12230,12547,11651,11583,11610,,1,1,317,896,383,1213,126,25
26,940,100,12203,12629,11661,11579,11584,,1,1,426,968,327,1394,131,26
26,940,100,12172,12634,11634,11575,11581,,1,1,462,1000,316,1462,132,26
26,940,100,12120,12652,11647,11552,11566,,1,1,532,1005,289,1537,135,27
27,940,100,12077,12670,11641,11528,11580,,1,1,593,1029,274,1622,136,27
27,940,100,12053,12691,11618,11525,11592,,1,1,638,1073,268,1711,137,27
27,940,100,12037,12719,11637,11552,11584,,1,1,682,1082,259,1764,139,28
28,940,100,12028,12751,11661,11557,11600,,1,1,723,1090,251,1813,140,28
28,940,100,12016,12765,11672,11543,11614,,1,1,749,1093,246,1842,141,28
28,940,100,12003,12766,11672,11561,11626,,1,1,763,1094,243,1857,141,28
28,940,100,11972,12778,11647,11568,11617,,1,1,806,1131,240,1937,142,28
28,940,100,11943,12799,11656,11571,11615,,1,1,856,1143,234,1999,143,29
28,940,100,11916,12809,11664,11582,11623,,1,1,893,1145,228,2038,144,29
28,940,100,11927,12870,11693,11616,11652,,1,1,943,1177,225,2120,144,29
28,940,100,11932,12889,11678,11628,11650,,1,1,957,1211,227,2168,144,29
28,940,100,11913,12902,11664,11635,11635,,1,1,989,1238,225,2227,144,29
29,940,100,11896,12907,11684,11625,11633,,1,1,1011,1223,221,2234,145,29
29,940,100,11892,12932,11656,11619,11632,,1,1,1040,1276,223,2316,145,29
29,940,100,11867,12938,11663,11604,11627,,1,1,1071,1275,219,2346,146,29
29,940,100,11864,12941,11677,11597,11606,,1,1,1077,1264,217,2341,146,29
29,940,100,11836,12942,11695,11599,11616,,1,1,1106,1247,213,2353,147,29
29,940,100,11822,12952,11708,11621,11628,,1,1,1130,1244,210,2374,148,30
29,940,100,11833,12971,11718,11619,11606,,1,1,1138,1253,210,2391,148,30
29,940,100,11833,12986,11724,11608,11613,,1,1,1153,1262,209,2415,148,30
29,940,100,11817,12993,11734,11603,11609,,1,1,1176,1259,207,2435,148,30
29,940,100,11796,12992,11705,11598,11570,,1,1,1196,1287,208,2483,148,30
29,940,100,11798,12992,11721,11588,11550,,1,1,1194,1271,206,2465,149,30
29,940,100,11790,12978,11731,11602,11563,,1,1,1188,1247,205,2435,149,30
29,940,100,11772,12986,11746,11614,11574,,1,1,1214,1240,202,2454,150,30
30,940,100,11760,13000,11764,11618,11600,,1,1,1240,1236,200,2476,150,30
29,940,100,11766,13018,11747,11635,11596,,1,1,1252,1271,202,2523,150,30
30,940,100,11771,13069,11766,11623,11595,,1,1,1298,1303,200,2601,150,30
30,940,100,11755,13057,11772,11586,11590,,1,1,1302,1285,199,2587,150,30
30,940,100,11746,13045,11776,11586,11594,,1,1,1299,1269,198,2568,151,30
30,940,100,11747,13041,11780,11596,11559,,1,1,1294,1261,197,2555,151,30
30,940,100,11725,13031,11754,11601,11583,,1,1,1306,1277,198,2583,151,30
30,940,100,11728,13026,11776,11594,11608,,1,1,1298,1250,196,2548,151,30
30,940,100,11714,13028,11773,11608,11622,,1,1,1314,1255,196,2569,151,30
30,940,100,11708,13033,11787,11613,11589,,1,1,1325,1246,194,2571,152,30
30,940,100,11718,13026,11814,11615,11603,,1,1,1308,1212,193,2520,152,30
30,940,100,11718,13016,11793,11585,11598,,1,1,1298,1223,194,2521,152,30
30,940,100,11695,13014,11779,11577,11613,,1,1,1319,1235,194,2554,152,30
30,940,100,11682,13010,11789,11558,11576,,1,1,1328,1221,192,2549,152,30
30,940,100,11669,12998,11805,11572,11602,,1,1,1329,1193,190,2522,153,31
30,940,100,11688,13082,11834,11557,11625,,1,1,1394,1248,190,2642,153,31
30,940,100,11697,13070,11829,11577,11640,,1,1,1373,1241,190,2614,153,31
30,940,100,11687,13048,11859,11595,11607,,1,1,1361,1189,187,2550,153,31
30,940,100,11677,13032,11845,11577,11613,,1,1,1355,1187,188,2542,153,31
30,940,100,11658,13017,11863,11566,11584,,1,1,1359,1154,185,2513,154,31
30,940,100,11643,12983,11863,11559,11593,,1,1,1340,1120,184,2460,154,31
30,940,100,11656,12974,11867,11547,11567,,1,1,1318,1107,184,2425,154,31
30,940,100,11669,12955,11875,11568,11592,,1,1,1286,1080,184,2366,154,31
30,940,100,11677,12955,11889,11591,11576,,1,1,1278,1066,183,2344,155,31
30,940,100,11684,12962,11885,11608,11604,,1,1,1278,1077,184,2355,154,31
30,940,100,11697,12965,11923,11586,11615,,1,1,1268,1042,182,2310,155,31
30,940,100,11688,12948,11905,11570,11607,,1,1,1260,1043,183,2303,155,31
31,940,100,11664,12903,11930,11561,11591,,1,1,1239,973,179,2212,156,31
31,940,100,11662,12896,11940,11547,11559,,1,1,1234,956,177,2190,156,31
31,940,100,11648,12874,11940,11547,11584,,1,1,1226,934,176,2160,157,31
31,940,100,11640,12861,11969,11579,11612,,1,1,1221,892,173,2113,158,32
31,940,100,11641,12866,12003,11605,11591,,1,1,1225,863,170,2088,159,32
31,940,100,11656,12852,12034,11614,11565,,1,1,1196,818,168,2014,160,32
31,940,100,11650,12842,12030,11615,11557,,1,1,1192,812,168,2004,160,32
32,940,100,11645,12830,12048,11595,11577,,1,1,1185,782,166,1967,160,32
32,940,100,11651,12810,12061,11599,11590,,1,1,1159,749,165,1908,161,32
32,940,100,11640,12801,12073,11595,11594,,1,1,1161,728,163,1889,161,32
32,940,100,11663,12772,12078,11622,11593,,1,1,1109,694,163,1803,161,32
32,940,100,11679,12750,12124,11641,11581,,1,1,1071,626,158,1697,163,33
32,940,100,11671,12735,12125,11611,11598,,1,1,1064,610,157,1674,164,33
32,940,100,11677,12704,12148,11615,11602,,1,1,1027,556,154,1583,165,33
33,940,100,11664,12670,12166,11610,11598,,1,1,1006,504,150,1510,167,33
33,940,100,11646,12629,12190,11583,11594,,1,1,983,439,145,1422,169,34
34,940,100,11625,12598,12218,11591,11564,,1,1,973,380,139,1353,172,34
34,940,100,11637,12556,12215,11567,11549,,1,1,919,341,137,1260,173,35
35,940,100,11640,12522,12256,11587,11541,,1,1,882,266,130,1148,177,35
35,940,100,11660,12495,12263,11612,11584,,1,1,835,232,128,1067,178,36
36,940,100,11644,12515,12311,11618,11593,,1,1,871,204,123,1075,181,36
65535,940,100,11650,12458,12335,11624,11592,,1,1,808,123,115,931,187,37
